,,(in $),,,,,
Rank,Release Group,Worldwide,Domestic,Foreign,year,Domestic %,Foreign %
1498,The Dream Team,"3,18,22,402",0,"3,18,22,402",2012,0.000,100.000
1499,Self/less,"3,18,07,156","1,22,79,691","1,95,27,465",2015,38.607,61.393
1500,Underdogs,"3,17,75,719",0,"3,17,75,719",2013,0.000,100.000
1501,Spring Breakers,"3,17,24,284","1,41,24,284","1,76,00,000",2013,44.522,55.478
1502,Hunter Killer,"3,16,72,678","1,57,67,460","1,59,05,218",2018,49.783,50.217
1503,New World,"3,16,70,607","4,57,806","3,12,12,801",2013,1.446,98.554
1504,Ae Dil Hai Mushkil,"3,16,68,920","42,64,983","2,74,03,937",2016,13.467,86.533
1505,Anna,"3,16,26,978","77,43,794","2,38,83,184",2019,24.485,75.515
1506,Super Troopers 2,"3,16,26,386","3,06,17,396","10,08,990",2018,96.810,3.190
1507,The Four 3,"3,15,21,335",0,"3,15,21,335",2014,0.000,100.000
1508,Bodyguard,"3,15,16,209","18,34,384","2,96,81,825",2011,5.820,94.180
1509,The Thing,"3,15,05,287","1,69,28,670","1,45,76,617",2011,53.733,46.267
1510,Harry Potter and the Sorcerer's Stone 2020 Re-release,"3,15,01,815",0,"3,15,01,815",2020,0.000,100.000
1511,I Don't Know How She Does It,"3,14,10,151","96,62,284","2,17,47,867",2011,30.762,69.238
1512,Honest Thief,"3,13,54,158","1,41,63,574","1,71,90,584",2020,45.173,54.827
1513,Assassination Classroom: The Graduation,"3,13,52,921",0,"3,13,52,921",2016,0.000,100.000
1514,"All's Well, Ends Well 2011","3,13,35,572",0,"3,13,35,572",2011,0.000,100.000
1515,What's in a Name?,"3,13,03,580","8,111","3,12,95,469",2012,0.026,99.974
1516,101 Proposals,"3,12,83,838",0,"3,12,83,838",2013,0.000,100.000
1517,Tazza: The Hidden Card,"3,12,78,476","2,51,555","3,10,26,921",2014,0.804,99.196
1518,Perfect Strangers,"3,12,54,929",0,"3,12,54,929",2016,0.000,100.000
1519,Saving Mr. Wu,"3,12,22,161","92,696","3,11,29,465",2015,0.297,99.703
1520,The Invisible Guest,"3,11,91,910",0,"3,11,91,910",2017,0.000,100.000
1521,My Dear Liar,"3,11,77,968","90,545","3,10,87,423",2019,0.290,99.710
1522,Joyful Noise,"3,11,58,113","3,09,32,113","2,26,000",2012,99.275,0.725
1523,Mrs. Brown's Boys D'Movie,"3,11,16,264",0,"3,11,16,264",2014,0.000,100.000
1524,Premium Rush,"3,10,83,599","2,02,75,446","1,08,08,153",2012,65.229,34.771
1525,The Wild Goose Lake,"3,10,64,835","12,573","3,10,52,262",2019,0.040,99.960
1526,The Strangers: Prey at Night,"3,10,39,126","2,45,86,708","64,52,418",2018,79.212,20.788
1527,Vysotsky. Thank You for Being Alive,"3,10,16,553",0,"3,10,16,553",2011,0.000,100.000
1528,This Is Not What I Expected,"3,09,96,615","3,37,670","3,06,58,945",2017,1.089,98.911
1529,Silenced,"3,09,96,130",0,"3,09,96,130",2011,0.000,100.000
1530,Playing for Keeps,"3,09,62,335","1,31,03,272","1,78,59,063",2012,42.320,57.680
1531,Rise of the Legend,"3,09,32,534",0,"3,09,32,534",2014,0.000,100.000
1532,Billy Lynn's Long Halftime Walk,"3,09,30,984","17,38,477","2,91,92,507",2016,5.621,94.379
1533,Pandora,"3,08,96,701",0,"3,08,96,701",2016,0.000,100.000
1534,Gintama 2: Rules are Made to be Broken,"3,08,96,653",0,"3,08,96,653",2018,0.000,100.000
1535,African Cats,"3,08,57,747","1,54,28,747","1,54,29,000",2011,50.000,50.000
1536,Attack on Titan Part 1,"3,08,10,658","4,49,523","3,03,61,135",2015,1.459,98.541
1537,Winter's Tale,"3,08,00,231","1,26,00,231","1,82,00,000",2014,40.910,59.090
1538,Norm of the North,"3,07,34,502","1,70,62,499","1,36,72,003",2016,55.516,44.484
1539,Carnage,"3,07,22,632","25,47,047","2,81,75,585",2011,8.290,91.710
1540,A Man Called Ove,"3,06,92,889","34,79,315","2,72,13,574",2015,11.336,88.664
1541,A Wedding Invitation,"3,06,65,036","14,350","3,06,50,686",2013,0.047,99.953
1542,When the Bough Breaks,"3,06,58,387","2,97,47,603","9,10,784",2016,97.029,2.971
1543,Wild Tales,"3,06,42,704","31,06,530","2,75,36,174",2014,10.138,89.862
1544,The Last Warrior,"3,06,18,274",0,"3,06,18,274",2017,0.000,100.000
1545,A Dangerous Method,"3,05,19,436","57,04,709","2,48,14,727",2011,18.692,81.308
1546,The Four,"3,05,05,808",0,"3,05,05,808",2012,0.000,100.000
1547,What's Your Number?,"3,04,26,096","1,40,11,084","1,64,15,012",2011,46.050,53.950
1548,Like a Boss,"3,03,99,490","2,21,69,514","82,29,976",2020,72.927,27.073
1549,S Storm,"3,03,81,402",0,"3,03,81,402",2016,0.000,100.000
1550,The Way of the Bug,"3,03,55,804",0,"3,03,55,804",2018,0.000,100.000
1551,Nocturnal Animals,"3,03,11,857","1,06,63,357","1,96,48,500",2016,35.179,64.821
1552,Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,"3,02,36,973",0,"3,02,36,973",2011,0.000,100.000
1553,Far from the Madding Crowd,"3,02,29,977","1,22,36,500","1,79,93,477",2015,40.478,59.522
1554,Eternal Moment,"3,01,86,159",0,"3,01,86,159",2011,0.000,100.000
1555,The Grand Heist,"3,01,58,762",0,"3,01,58,762",2012,0.000,100.000
1556,A Silent Voice: The Movie,"3,01,56,463","3,10,407","2,98,46,056",2016,1.029,98.971
1557,When the Game Stands Tall,"3,01,38,754","3,01,27,963","10,791",2014,99.964,0.036
1558,The Rum Diary,"3,01,34,958","1,31,09,815","1,70,25,143",2011,43.504,56.496
1559,Clergy,"3,01,14,115",0,"3,01,14,115",2018,0.000,100.000
1560,My Own Swordsman,"3,00,82,188",0,"3,00,82,188",2011,0.000,100.000
1561,My Hero Academia: Heroes Rising,"2,99,71,229","1,33,04,000","1,66,67,229",2019,44.389,55.611
1562,Reset 2017 Re-release,"2,99,49,252","1,08,970","2,98,40,282",2017,0.364,99.636
1563,Keeping Up with the Joneses,"2,99,18,745","1,49,04,426","1,50,14,319",2016,49.816,50.184
1564,The Bye Bye Man,"2,98,74,280","2,23,95,806","74,78,474",2017,74.967,25.033
1565,You Are the Apple of My Eye,"2,98,43,025",0,"2,98,43,025",2011,0.000,100.000
1566,Draft Day,"2,98,24,199","2,88,42,237","9,81,962",2014,96.707,3.293
1567,The Disaster Artist,"2,98,20,616","2,11,20,616","87,00,000",2017,70.826,29.174
1568,Ice,"2,98,06,210",0,"2,98,06,210",2018,0.000,100.000
1569,Jackie,"2,97,77,777","1,39,60,394","1,58,17,383",2016,46.882,53.118
1570,Torrente 4,"2,97,37,384",0,"2,97,37,384",2011,0.000,100.000
1571,The Swindlers,"2,97,21,916","2,41,916","2,94,80,000",2017,0.814,99.186
1572,The Raven,"2,96,99,345","1,60,08,272","1,36,91,073",2012,53.901,46.099
1573,Masterminds,"2,96,74,699","1,73,68,022","1,23,06,677",2016,58.528,41.472
1574,Amour,"2,96,52,180","67,39,492","2,29,12,688",2012,22.728,77.272
1575,The Sorcerer and the White Snake,"2,96,49,716",0,"2,96,49,716",2011,0.000,100.000
1576,Free Solo,"2,93,90,279","1,75,41,090","1,18,49,189",2018,59.683,40.317
1577,All About My Wife,"2,93,82,038",0,"2,93,82,038",2012,0.000,100.000
1578,Alibi.com,"2,93,70,592",0,"2,93,70,592",2017,0.000,100.000
1579,Mr. Holmes,"2,93,55,203","1,77,37,646","1,16,17,557",2015,60.424,39.576
1580,Rowdy Rathore,"2,93,42,463","7,77,373","2,85,65,090",2012,2.649,97.351
1581,Sword Art Online the Movie: Ordinal Scale,"2,93,22,339","15,22,976","2,77,99,363",2017,5.194,94.806
1582,Silent Witness,"2,93,15,945",0,"2,93,15,945",2013,0.000,100.000
1583,Big Eyes,"2,92,53,166","1,44,82,031","1,47,71,135",2014,49.506,50.494
1584,Fall In Love At First Kiss,"2,92,06,238",0,"2,92,06,238",2019,0.000,100.000
1585,Dark Figure of Crime,"2,91,76,133",0,"2,91,76,133",2018,0.000,100.000
1586,Flight Crew,"2,91,71,110",0,"2,91,71,110",2016,0.000,100.000
1587,Unfair: The Answer,"2,91,66,054",0,"2,91,66,054",2011,0.000,100.000
1588,Viking,"2,91,61,298",0,"2,91,61,298",2016,0.000,100.000
1589,Dragon,"2,91,40,858",0,"2,91,40,858",2011,0.000,100.000
1590,Special ID,"2,91,39,936","12,666","2,91,27,270",2013,0.043,99.957
1591,The Fatal Encounter,"2,90,60,186",0,"2,90,60,186",2014,0.000,100.000
1592,Pad Man,"2,90,45,020","16,70,192","2,73,74,828",2018,5.750,94.250
1593,SPEC: Heaven,"2,90,23,960",0,"2,90,23,960",2012,0.000,100.000
1594,Recep Ivedik 5,"2,89,52,258",0,"2,89,52,258",2017,0.000,100.000
1595,M.S. Dhoni: The Untold Story,"2,89,03,047","18,01,550","2,71,01,497",2016,6.233,93.767
1596,We Were There: True Love,"2,88,76,929",0,"2,88,76,929",2012,0.000,100.000
1597,Kokowääh 2,"2,88,11,936",0,"2,88,11,936",2013,0.000,100.000
1598,Bol Bachchan,"2,87,75,262","12,16,258","2,75,59,004",2012,4.227,95.773
1599,Mirai,"2,87,56,961","8,12,794","2,79,44,167",2018,2.826,97.174
1600,Judwaa 2,"2,87,33,523","14,31,255","2,73,02,268",2017,4.981,95.019
1601,Yolki 2,"2,87,19,002",0,"2,87,19,002",2011,0.000,100.000
1602,Bath Buddy,"2,87,00,000",0,"2,87,00,000",2020,0.000,100.000
1603,The Suspect,"2,86,74,130","2,18,693","2,84,55,437",2013,0.763,99.237
1604,The Fortress,"2,86,45,448","2,52,895","2,83,92,553",2017,0.883,99.117
1605,Love & Mercy,"2,86,41,776","1,25,51,031","1,60,90,745",2015,43.821,56.179
1606,Maya the Bee Movie,"2,86,38,603",0,"2,86,38,603",2014,0.000,100.000
1607,The Four 2,"2,85,99,970",0,"2,85,99,970",2013,0.000,100.000
1608,Pokémon the Movie: Diancie and the Cocoon of Destruction,"2,85,95,105",0,"2,85,95,105",2014,0.000,100.000
1609,Flying Colors,"2,85,25,563",0,"2,85,25,563",2015,0.000,100.000
1610,Ala Vaikunthapurramuloo,"2,84,77,890",0,"2,84,77,890",2020,0.000,100.000
1611,Deranged,"2,84,44,173",0,"2,84,44,173",2012,0.000,100.000
1612,The Kiyosu Conference,"2,83,38,665",0,"2,83,38,665",2013,0.000,100.000
1613,I Give It a Year,"2,83,28,531","34,657","2,82,93,874",2013,0.122,99.878
1614,Gully Boy,"2,82,99,498","55,66,534","2,27,32,964",2019,19.670,80.330
1615,The Master,"2,82,58,060","1,63,77,274","1,18,80,786",2012,57.956,42.044
1616,Fan,"2,82,40,000","23,00,000","2,59,40,000",2016,8.144,91.856
1617,"Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds, Meow!","2,81,10,245",0,"2,81,10,245",2016,0.000,100.000
1618,Triumph in the Skies,"2,80,85,162",0,"2,80,85,162",2015,0.000,100.000
1619,Welcome to Germany,"2,80,36,021",0,"2,80,36,021",2016,0.000,100.000
1620,Your Highness,"2,80,13,733","2,15,96,445","64,17,288",2011,77.092,22.908
1621,Mandela: Long Walk to Freedom,"2,79,85,788","83,23,085","1,96,62,703",2013,29.740,70.260
1622,The Brothers Grimsby,"2,79,79,040","68,74,837","2,11,04,203",2016,24.571,75.429
1623,What Happened to Monday,"2,79,75,429",0,"2,79,75,429",2017,0.000,100.000
1624,The 33,"2,79,72,023","1,22,27,722","1,57,44,301",2015,43.714,56.286
1625,The Divine Move,"2,79,26,871","1,36,707","2,77,90,164",2014,0.490,99.510
1626,Monster Family,"2,78,90,108","1,27,259","2,77,62,849",2017,0.456,99.544
1627,The Beguiled,"2,78,69,129","1,07,09,995","1,71,59,134",2017,38.430,61.570
1628,When Larry Meets Mary,"2,78,63,090",0,"2,78,63,090",2016,0.000,100.000
1629,Dark Skies,"2,78,58,103","1,74,18,667","1,04,39,436",2013,62.526,37.474
1630,Love Strikes!,"2,77,07,149",0,"2,77,07,149",2011,0.000,100.000
1631,Kim Ji-young: Born 1982,"2,76,96,393",0,"2,76,96,393",2019,0.000,100.000
1632,Default,"2,76,94,043","2,03,775","2,74,90,268",2018,0.736,99.264
1633,Nebraska,"2,76,82,872","1,76,54,912","1,00,27,960",2013,63.776,36.224
1634,Bride Wars,"2,76,70,000",0,"2,76,70,000",2015,0.000,100.000
1635,One Cut of the Dead,"2,75,90,180","52,406","2,75,37,774",2018,0.190,99.810
1636,Nicholas on Holiday,"2,75,67,832",0,"2,75,67,832",2014,0.000,100.000
1637,The Women on the 6th Floor,"2,75,33,970","7,19,823","2,68,14,147",2011,2.614,97.386
1638,Grace of Monaco,"2,75,15,247",0,"2,75,15,247",2014,0.000,100.000
1639,The Happytime Murders,"2,75,06,452","2,07,06,452","68,00,000",2018,75.279,24.721
1640,The Incredible Burt Wonderstone,"2,74,37,881","2,25,37,881","49,00,000",2013,82.141,17.859
1641,Yesterday Once More,"2,74,11,872",0,"2,74,11,872",2016,0.000,100.000
1642,Left Behind,"2,74,05,896","1,40,19,924","1,33,85,972",2014,51.157,48.843
1643,Irrational Man,"2,73,91,084","40,30,360","2,33,60,724",2015,14.714,85.286
1644,Detective K: Secret of the Lost Island,"2,73,87,870","1,85,367","2,72,02,503",2015,0.677,99.323
1645,Gorko!,"2,73,69,902",0,"2,73,69,902",2013,0.000,100.000
1646,Midnight Sun,"2,73,65,467","95,61,064","1,78,04,403",2018,34.938,65.062
1647,Pokémon: Mewtwo Strikes Back - Evolution,"2,73,47,118",0,"2,73,47,118",2019,0.000,100.000
1648,To the Fore,"2,72,67,799",0,"2,72,67,799",2015,0.000,100.000
1649,American Ultra,"2,72,62,374","1,44,40,985","1,28,21,389",2015,52.970,47.030
1650,VIP Policeman,"2,72,22,681",0,"2,72,22,681",2018,0.000,100.000
1651,Khumba,"2,71,87,375","1,029","2,71,86,346",2013,0.004,99.996
1652,Joy of Fatherhood,"2,70,88,817",0,"2,70,88,817",2014,0.000,100.000
1653,My Neighbor Totoro 2018 Re-release,"2,70,83,857","11,44,649","2,59,39,208",2018,4.226,95.774
1654,Hitchcock,"2,70,39,669","60,08,677","2,10,30,992",2012,22.222,77.778
1655,Almost a Comedy,"2,69,90,962",0,"2,69,90,962",2019,0.000,100.000
1656,Letters to Santa,"2,69,23,513",0,"2,69,23,513",2011,0.000,100.000
1657,Total Dhamaal,"2,69,11,995","21,67,632","2,47,44,363",2019,8.055,91.945
1658,The Witches,"2,69,00,000",0,"2,69,00,000",2020,0.000,100.000
1659,You're Next,"2,68,95,481","1,84,94,006","84,01,475",2013,68.763,31.237
1660,Mr. Go,"2,68,35,201",0,"2,68,35,201",2013,0.000,100.000
1661,CHIPS,"2,68,00,152","1,86,00,152","82,00,000",2017,69.403,30.597
1662,The Faces of My Gene,"2,67,96,279",0,"2,67,96,279",2018,0.000,100.000
1663,Dearest,"2,67,23,916",0,"2,67,23,916",2012,0.000,100.000
1664,Architecture 101,"2,66,42,354",0,"2,66,42,354",2012,0.000,100.000
1665,A Cure for Wellness,"2,66,20,002","81,06,986","1,85,13,016",2017,30.454,69.546
1666,A Monster in Paris,"2,66,11,650",0,"2,66,11,650",2011,0.000,100.000
1667,Missing Link,"2,65,65,710","1,66,49,539","99,16,171",2019,62.673,37.327
1668,No Manches Frida 2,"2,64,93,648","92,70,920","1,72,22,728",2019,34.993,65.007
1669,A Hard Day,"2,64,88,847","19,004","2,64,69,843",2014,0.072,99.928
1670,The Break Up Man,"2,64,77,012",0,"2,64,77,012",2013,0.000,100.000
1671,The Way Way Back,"2,64,74,920","2,15,06,546","49,68,374",2013,81.234,18.766
1672,We Are the Nobles,"2,64,33,651",0,"2,64,33,651",2013,0.000,100.000
1673,Ivan Tsarevich & the Grey Wolf,"2,64,20,475",0,"2,64,20,475",2011,0.000,100.000
1674,Dancing Queen,"2,64,11,266",0,"2,64,11,266",2012,0.000,100.000
1675,Emma.,"2,64,04,660","1,00,55,355","1,63,49,305",2020,38.082,61.918
1676,Only the Brave,"2,63,51,322","1,83,43,983","80,07,339",2017,69.613,30.387
1677,Twenty Two,"2,62,89,378","46,796","2,62,42,582",2017,0.178,99.822
1678,Orange,"2,62,61,536",0,"2,62,61,536",2015,0.000,100.000
1679,Aloha,"2,62,50,020","2,10,67,116","51,82,904",2015,80.256,19.744
1680,The Stolen Years,"2,62,49,553",0,"2,62,49,553",2013,0.000,100.000
1681,Apollo 18,"2,62,36,153","1,76,87,709","85,48,444",2011,67.417,32.583
1682,The Confidence Man JP,"2,62,28,317",0,"2,62,28,317",2019,0.000,100.000
1683,One Night Surprise,"2,62,20,159",0,"2,62,20,159",2013,0.000,100.000
1684,Lesson of the Evil,"2,61,67,224",0,"2,61,67,224",2012,0.000,100.000
1685,The Zookeeper's Wife,"2,61,52,835","1,75,71,660","85,81,175",2017,67.188,32.812
1686,Badrinath Ki Dulhania,"2,61,34,309","19,93,259","2,41,41,050",2017,7.627,92.373
1687,Badhaai Ho,"2,61,25,610",0,"2,61,25,610",2018,0.000,100.000
1688,Top Five,"2,61,17,471","2,53,17,471","8,00,000",2014,96.937,3.063
1689,Hichki,"2,60,55,222","3,30,279","2,57,24,943",2018,1.268,98.732
1690,Platinum Data,"2,60,52,718",0,"2,60,52,718",2013,0.000,100.000
1691,Iceman,"2,60,33,917","7,679","2,60,26,238",2014,0.029,99.971
1692,Agneepath,"2,60,01,696","19,86,748","2,40,14,948",2012,7.641,92.359
1693,The Light Between Oceans,"2,59,75,621","1,25,45,979","1,34,29,642",2016,48.299,51.701
1694,A Chinese Odyssey: Part 2 - Cinderella 2017 Re-release,"2,59,60,664",0,"2,59,60,664",2017,0.000,100.000
1695,Love Off the Cuff,"2,59,59,989",0,"2,59,59,989",2017,0.000,100.000
1696,The Confidence Man JP: The Movie,"2,59,58,189",0,"2,59,58,189",2019,0.000,100.000
1697,White Boy Rick,"2,59,57,482","2,40,11,188","19,46,294",2018,92.502,7.498
1698,Meet Miss Anxiety,"2,59,48,636",0,"2,59,48,636",2014,0.000,100.000
1699,"Paul, Apostle of Christ","2,59,15,966","1,75,60,475","83,55,491",2018,67.759,32.241
1700,Huevos: Little Rooster's Egg-cellent Adventure,"2,58,92,561","90,80,818","1,68,11,743",2015,35.071,64.929
1701,Gekijouban SPEC: Kurôzu - Zen no hen,"2,58,60,404",0,"2,58,60,404",2013,0.000,100.000
1702,Dügün Dernek 2: Sünnet,"2,58,36,668",0,"2,58,36,668",2015,0.000,100.000
1703,Leap,"2,58,18,882","83,074","2,57,35,808",2020,0.322,99.678
1704,Unbeatable,"2,58,16,154",0,"2,58,16,154",2013,0.000,100.000
1705,Rust and Bone,"2,58,07,712","20,62,027","2,37,45,685",2012,7.990,92.010
1706,Our Idiot Brother,"2,58,04,448","2,48,16,118","9,88,330",2011,96.170,3.830
1707,"The Gangster, the Cop, the Devil","2,57,75,371","2,16,494","2,55,58,877",2019,0.840,99.160
1708,Man on the Edge,"2,57,74,679",0,"2,57,74,679",2013,0.000,100.000
1709,Scoob!,"2,57,50,000","8,50,000","2,49,00,000",2020,3.301,96.699
1710,A Beautiful Planet,"2,57,30,120","1,56,50,615","1,00,79,505",2016,60.826,39.174
1711,Champions,"2,57,03,987",0,"2,57,03,987",2018,0.000,100.000
1712,Fireworks,"2,56,72,406","5,25,280","2,51,47,126",2017,2.046,97.954
1713,Father Figures,"2,56,01,244","1,75,01,244","81,00,000",2017,68.361,31.639
1714,"Love, Rosie","2,55,74,387","20,431","2,55,53,956",2014,0.080,99.920
1715,Mr. Donkey,"2,55,37,759","3,56,255","2,51,81,504",2016,1.395,98.605
1716,Look Who's Back,"2,55,13,752",0,"2,55,13,752",2015,0.000,100.000
1717,Money,"2,54,03,753",0,"2,54,03,753",2017,0.000,100.000
1718,Head Over Heels 2,"2,54,02,893",0,"2,54,02,893",2012,0.000,100.000
1719,Keys To The Heart,"2,53,75,866","75,134","2,53,00,732",2018,0.296,99.704
1720,Serial Teachers 2,"2,53,64,150",0,"2,53,64,150",2015,0.000,100.000
1721,A Haunted House 2,"2,53,58,716","1,73,29,486","80,29,230",2014,68.337,31.663
1722,And So It Goes,"2,53,12,387","1,51,60,801","1,01,51,586",2014,59.895,40.105
1723,Bodies at Rest,"2,52,93,853",0,"2,52,93,853",2019,0.000,100.000
1724,Enough Said,"2,52,88,872","1,75,50,872","77,38,000",2013,69.402,30.598
1725,On the Other Side of the Tracks,"2,51,09,572","9,572","2,51,00,000",2012,0.038,99.962
1726,Born in China,"2,50,81,168","1,38,73,211","1,12,07,957",2016,55.313,44.687
1727,Race,"2,50,70,261","1,92,06,207","58,64,054",2016,76.610,23.390
1728,Herutâ sukerutâ,"2,50,66,699",0,"2,50,66,699",2012,0.000,100.000
1729,The Last Exorcism Part II,"2,50,51,865","1,51,79,302","98,72,563",2013,60.592,39.408
1730,Call of Heroes,"2,50,40,561",0,"2,50,40,561",2016,0.000,100.000
1731,Free State of Jones,"2,50,35,950","2,08,10,036","42,25,914",2016,83.121,16.879
1732,The Last Tycoon,"2,50,09,914",0,"2,50,09,914",2012,0.000,100.000
1733,"Me, Myself and Mum","2,49,91,467",0,"2,49,91,467",2013,0.000,100.000
1734,Whiskey Tango Foxtrot,"2,49,72,139","2,30,83,334","18,88,805",2016,92.436,7.564
1735,Booksmart,"2,49,59,607","2,26,80,962","22,78,645",2019,90.871,9.129
1736,Housefull 2,"2,49,22,847","17,91,780","2,31,31,067",2012,7.189,92.811
1737,Wild City,"2,48,17,852","34,866","2,47,82,986",2015,0.140,99.860
1738,Eyyvah Eyvah 2,"2,47,92,348",0,"2,47,92,348",2011,0.000,100.000
1739,Big Miracle,"2,47,19,215","2,01,57,300","45,61,915",2012,81.545,18.455
1740,Super 30,"2,47,01,637","22,69,878","2,24,31,759",2019,9.189,90.811
1741,Soulmate,"2,46,84,439",0,"2,46,84,439",2016,0.000,100.000
1742,Drug War,"2,46,76,341","1,28,195","2,45,48,146",2013,0.520,99.480
1743,Ready,"2,46,63,361","9,55,148","2,37,08,213",2011,3.873,96.127
1744,The Death of Stalin,"2,46,46,055","80,47,856","1,65,98,199",2017,32.654,67.346
1745,The Snow Queen 3: Fire and Ice,"2,46,44,317",0,"2,46,44,317",2016,0.000,100.000
1746,Sparkle,"2,46,37,800","2,43,97,469","2,40,331",2012,99.025,0.975
1747,The Players,"2,46,29,152","10,854","2,46,18,298",2012,0.044,99.956
1748,Liar Game: Reborn,"2,45,49,726",0,"2,45,49,726",2012,0.000,100.000
1749,God's Not Dead 2,"2,44,87,848","2,07,74,575","37,13,273",2016,84.836,15.164
1750,Skyfire,"2,44,44,590","1,105","2,44,43,485",2019,0.005,99.995
1751,The Tale of The Princess Kaguya,"2,44,34,485","7,03,232","2,37,31,253",2013,2.878,97.122
1752,The 8-Year Engagement,"2,44,25,963",0,"2,44,25,963",2017,0.000,100.000
1753,Stan & Ollie,"2,44,20,923","54,70,235","1,89,50,688",2018,22.400,77.600
1754,The Witch: Part 1 - The Subversion,"2,43,40,302",0,"2,43,40,302",2018,0.000,100.000
1755,The Father,"2,43,06,605","21,22,771","2,21,83,834",2020,8.733,91.267
1756,The Great Beauty,"2,42,71,739","28,52,400","2,14,19,339",2013,11.752,88.248
1757,Trance,"2,42,61,569","23,28,743","2,19,32,826",2013,9.598,90.402
1758,The Accidental Detective 2: In Action,"2,42,43,825","1,79,045","2,40,64,780",2018,0.739,99.261
1759,Camping 3,"2,42,24,579",0,"2,42,24,579",2016,0.000,100.000
1760,Jolly LLB 2,"2,42,14,186","16,54,254","2,25,59,932",2017,6.832,93.168
1761,The Railway Man,"2,41,74,885","44,38,438","1,97,36,447",2013,18.360,81.640
1762,The Founder,"2,41,21,245","1,27,86,053","1,13,35,192",2016,53.007,46.993
1763,Out of Inferno,"2,41,09,886",0,"2,41,09,886",2013,0.000,100.000
1764,Start-Up,"2,41,06,579",0,"2,41,06,579",2019,0.000,100.000
1765,Bad Santa 2,"2,40,79,268","1,77,82,178","62,97,090",2016,73.848,26.152
1766,Kung Fu Jungle,"2,40,70,765","1,29,784","2,39,40,981",2014,0.539,99.461
1767,I Can Speak,"2,40,24,444","63,239","2,39,61,205",2017,0.263,99.737
1768,Bring Happiness Home,"2,39,80,000",0,"2,39,80,000",2013,0.000,100.000
1769,I Want You,"2,39,61,214",0,"2,39,61,214",2012,0.000,100.000
1770,Türkisch für Anfänger,"2,39,52,712",0,"2,39,52,712",2012,0.000,100.000
1771,Killing for the Prosecution,"2,39,29,620",0,"2,39,29,620",2018,0.000,100.000
1772,Pinocchio,"2,38,89,592","18,31,718","2,20,57,874",2019,7.667,92.333
1773,Spirits' Homecoming,"2,38,57,217","1,25,616","2,37,31,601",2016,0.527,99.473
1774,Silence,"2,38,34,809","71,00,177","1,67,34,632",2016,29.789,70.211
1775,Wanderlust,"2,38,12,816","1,74,50,535","63,62,281",2012,73.282,26.718
1776,"Little Brother, Big Trouble: A Christmas Adventure","2,37,85,681",0,"2,37,85,681",2012,0.000,100.000
1777,Interstellar 2020 Re-release,"2,37,71,122",0,"2,37,71,122",2020,0.000,100.000
1778,Pokémon the Movie: The Power of Us,"2,37,40,788","7,89,170","2,29,51,618",2018,3.324,96.676
1779,The Peanut Butter Falcon,"2,37,12,090","2,04,57,151","32,54,939",2019,86.273,13.727
1780,To the Arctic 3D,"2,36,95,388","1,45,60,838","91,34,550",2012,61.450,38.550
1781,Little White Lies 2,"2,36,23,665",0,"2,36,23,665",2019,0.000,100.000
1782,Kevin Hart: What Now?,"2,35,91,043","2,35,91,043",0,2016,100.000,0.000
1783,No manches Frida,"2,35,40,937","1,15,28,613","1,20,12,324",2016,48.973,51.027
1784,Wish Upon,"2,34,68,586","1,43,01,505","91,67,081",2017,60.939,39.061
1785,Ossan's Love: Love or Dead,"2,34,22,744",0,"2,34,22,744",2019,0.000,100.000
1786,Only Cloud Knows,"2,34,10,836",0,"2,34,10,836",2019,0.000,100.000
1787,In His Chart,"2,33,84,864",0,"2,33,84,864",2011,0.000,100.000
1788,Detroit,"2,33,55,100","1,67,90,139","65,64,961",2017,71.891,28.109
1789,Middle School: The Worst Years of My Life,"2,33,16,139","2,00,07,149","33,08,990",2016,85.808,14.192
1790,Warrior,"2,33,08,615","1,36,57,115","96,51,500",2011,58.593,41.407
1791,Triple 9,"2,31,77,948","1,26,39,297","1,05,38,651",2016,54.532,45.468
1792,Hoodwinked Too! Hood vs. Evil,"2,31,67,844","1,01,43,779","1,30,24,065",2011,43.784,56.216
1793,Rock Dog,"2,31,57,646","94,20,546","1,37,37,100",2016,40.680,59.320
1794,The Guernsey Literary and Potato Peel Pie Society,"2,31,48,937",0,"2,31,48,937",2018,0.000,100.000
1795,The Crimes That Bind,"2,31,44,130",0,"2,31,44,130",2018,0.000,100.000
1796,New Happy Dad and Son 3: Adventure in Russia,"2,31,30,469",0,"2,31,30,469",2018,0.000,100.000
1797,Dark Waters,"2,31,08,017","1,11,36,084","1,19,71,933",2019,48.191,51.809
1798,The Farewell,"2,30,76,657","1,76,95,781","53,80,876",2019,76.683,23.317
1799,The Choice,"2,30,64,015","1,87,30,891","43,33,124",2016,81.213,18.787
1800,Padmaavat,"2,29,91,060","1,18,46,060","1,11,45,000",2018,51.525,48.475
1801,Hotaru the Movie: It's Only a Little Light in My Life,"2,29,75,341",0,"2,29,75,341",2012,0.000,100.000
1802,Penny Pincher!,"2,29,55,486",0,"2,29,55,486",2016,0.000,100.000
1803,Young Adult,"2,29,39,027","1,63,11,571","66,27,456",2011,71.108,28.892
1804,Andalucia: Revenge of the Goddess,"2,29,29,221",0,"2,29,29,221",2011,0.000,100.000
